mandante,visitante,resultado
Corinthians,Vasco,casa
Athletico-PR,Fluminense,casa
Vitoria,Sao Paulo,fora
Flamengo,Sport,casa
Cruzeiro,Bahia,casa
Palmeiras,Coritiba,casa
Flamengo,Avai,empate
Santos,Athletico-PR,casa
Sao Paulo,Corinthians,empate
Chapecoense,Ponte Preta,casa
Coritiba,Botafogo-RJ,fora
Atletico-GO,Cruzeiro,fora
Fluminense,Palmeiras,fora
Atletico-MG,Vitoria,fora
Bahia,Gremio,casa
Sport,Vasco,empate
Vasco,Chapecoense,empate
Bahia,Coritiba,empate
Palmeiras,Santos,fora
Cruzeiro,Corinthians,empate
Botafogo-RJ,Vitoria,fora
Sao Paulo,Sport,casa
Gremio,Fluminense,casa
Avai,Atletico-GO,fora
Athletico-PR,Atletico-MG,fora
Ponte Preta,Flamengo,casa
Cruzeiro,Ponte Preta,casa
Athletico-PR,Atletico-GO,empate
Botafogo-RJ,Chapecoense,casa
Corinthians,Coritiba,casa
Gremio,Cruzeiro,fora
Avai,Vasco,fora
Atletico-MG,Sao Paulo,casa
Vitoria,Sport,fora
Flamengo,Fluminense,empate
Ponte Preta,Santos,empate
Palmeiras,Bahia,empate
Vasco,Botafogo-RJ,casa
Sao Paulo,Athletico-PR,casa
Chapecoense,Flamengo,fora
Atletico-GO,Palmeiras,fora
Fluminense,Avai,casa
Sport,Atletico-MG,empate
Coritiba,Gremio,fora
Bahia,Corinthians,casa
Santos,Vitoria,empate
Atletico-GO,Vasco,fora
Coritiba,Cruzeiro,casa
Atletico-MG,Chapecoense,fora
Avai,Botafogo-RJ,empate
Fluminense,Sao Paulo,casa
Corinthians,Gremio,empate
Vitoria,Athletico-PR,fora
Palmeiras,Ponte Preta,casa
Flamengo,Bahia,casa
Sport,Santos,empate
Vasco,Coritiba,empate
Santos,Atletico-GO,casa
Bahia,Vitoria,casa
Gremio,Palmeiras,fora
Sao Paulo,Flamengo,casa
Athletico-PR,Sport,casa
Cruzeiro,Atletico-MG,fora
Chapecoense,Fluminense,casa
Ponte Preta,Avai,fora
Botafogo-RJ,Corinthians,casa
Sao Paulo,Santos,casa
Flamengo,Vasco,empate
Athletico-PR,Chapecoense,empate
Ponte Preta,Corinthians,casa
Fluminense,Bahia,empate
Atletico-MG,Botafogo-RJ,empate
Vitoria,Atletico-GO,empate
Sport,Coritiba,fora
Avai,Gremio,empate
Palmeiras,Cruzeiro,empate
Santos,Atletico-MG,casa
Botafogo-RJ,Fluminense,fora
Atletico-GO,Sao Paulo,fora
Coritiba,Avai,casa
Corinthians,Palmeiras,casa
Cruzeiro,Athletico-PR,casa
Gremio,Flamengo,casa
Bahia,Ponte Preta,casa
Vasco,Vitoria,empate
Chapecoense,Sport,empate
Ponte Preta,Gremio,fora
Avai,Bahia,fora
Sport,Botafogo-RJ,fora
Athletico-PR,Corinthians,fora
Santos,Vasco,fora
Flamengo,Cruzeiro,casa
Vitoria,Palmeiras,casa
Sao Paulo,Chapecoense,empate
Atletico-MG,Atletico-GO,casa
Fluminense,Coritiba,empate
Botafogo-RJ,Athletico-PR,fora
Corinthians,Avai,casa
Vasco,Sao Paulo,empate
Palmeiras,Flamengo,casa
Atletico-GO,Sport,casa
Gremio,Vitoria,empate
Bahia,Atletico-MG,empate
Cruzeiro,Fluminense,casa
Coritiba,Ponte Preta,empate
Chapecoense,Santos,casa
Ponte Preta,Athletico-PR,casa
Cruzeiro,Avai,empate
Gremio,Sao Paulo,casa
Vasco,Atletico-MG,empate
Corinthians,Fluminense,casa
Botafogo-RJ,Atletico-GO,fora
Chapecoense,Vitoria,casa
Palmeiras,Sport,casa
Coritiba,Flamengo,casa
Bahia,Santos,casa
Sport,Bahia,casa
Flamengo,Corinthians,casa
Vitoria,Cruzeiro,empate
Atletico-GO,Chapecoense,empate
Sao Paulo,Botafogo-RJ,empate
Athletico-PR,Vasco,casa
Atletico-MG,Coritiba,casa
Santos,Gremio,casa
Fluminense,Ponte Preta,casa
Avai,Palmeiras,casa
Fluminense,Sport,fora
Avai,Athletico-PR,casa
Corinthians,Atletico-MG,empate
Ponte Preta,Vitoria,fora
Coritiba,Sao Paulo,fora
Cruzeiro,Vasco,fora
Gremio,Atletico-GO,empate
Flamengo,Santos,fora
Bahia,Chapecoense,fora
Palmeiras,Botafogo-RJ,casa
Atletico-MG,Gremio,casa
Botafogo-RJ,Cruzeiro,empate
Santos,Avai,empate
Sport,Corinthians,casa
Vitoria,Flamengo,fora
Atletico-GO,Fluminense,empate
Sao Paulo,Bahia,empate
Chapecoense,Coritiba,casa
Vasco,Ponte Preta,casa
Athletico-PR,Palmeiras,casa
Cruzeiro,Gremio,fora
Vitoria,Flamengo,empate
Santos,Ceara,casa
America-MG,Sport,casa
Vasco,Atletico-MG,casa
Internacional,Bahia,casa
Corinthians,Fluminense,casa
Athletico-PR,Chapecoense,casa
Sao Paulo,Parana,casa
Botafogo-RJ,Palmeiras,empate
Bahia,Santos,casa
Flamengo,America-MG,casa
Parana,Corinthians,fora
Ceara,Sao Paulo,empate
Atletico-MG,Vitoria,casa
Fluminense,Cruzeiro,casa
Chapecoense,Vasco,empate
Palmeiras,Internacional,casa
Gremio,Athletico-PR,empate
Sport,Botafogo-RJ,empate
Botafogo-RJ,Gremio,casa
Bahia,Athletico-PR,empate
Ceara,Flamengo,fora
Palmeiras,Chapecoense,empate
Parana,Sport,fora
Atletico-MG,Corinthians,casa
Fluminense,Sao Paulo,empate
Internacional,Cruzeiro,empate
America-MG,Vitoria,casa
Vasco,America-MG,casa
Sao Paulo,Atletico-MG,empate
Corinthians,Ceara,empate
Flamengo,Internacional,casa
Cruzeiro,Botafogo-RJ,casa
Athletico-PR,Palmeiras,fora
Vitoria,Fluminense,fora
Gremio,Santos,casa
Sport,Bahia,casa
Chapecoense,Parana,empate
Gremio,Internacional,empate
Cruzeiro,Sport,casa
Athletico-PR,Atletico-MG,fora
Vasco,Vitoria,fora
Corinthians,Palmeiras,casa
Bahia,Sao Paulo,empate
Chapecoense,Flamengo,casa
Santos,Parana,casa
Botafogo-RJ,Fluminense,casa
Ceara,America-MG,empate
Atletico-MG,Cruzeiro,casa
Flamengo,Vasco,empate
Palmeiras,Bahia,casa
Vitoria,Ceara,casa
Sao Paulo,Santos,casa
America-MG,Botafogo-RJ,casa
Parana,Gremio,empate
Sport,Corinthians,empate
Fluminense,Athletico-PR,casa
Internacional,Chapecoense,casa
Fluminense,Chapecoense,casa
Palmeiras,Sport,fora
Atletico-MG,Flamengo,fora
Parana,Athletico-PR,empate
Internacional,Corinthians,casa
Bahia,Vasco,casa
Santos,Cruzeiro,fora
Botafogo-RJ,Vitoria,empate
Ceara,Gremio,fora
America-MG,Sao Paulo,fora
Vasco,Parana,casa
Vitoria,Internacional,fora
Sport,Atletico-MG,casa
Chapecoense,Ceara,casa
Sao Paulo,Botafogo-RJ,casa
Gremio,Fluminense,empate
Cruzeiro,Palmeiras,casa
Flamengo,Bahia,casa
Corinthians,America-MG,casa
Athletico-PR,Santos,casa
Internacional,Sport,empate
Atletico-MG,Chapecoense,empate
Vasco,Botafogo-RJ,fora
Palmeiras,Sao Paulo,casa
Flamengo,Corinthians,casa
Bahia,Gremio,fora
America-MG,Athletico-PR,casa
Santos,Vitoria,casa
Ceara,Cruzeiro,fora
Parana,Fluminense,casa
Sao Paulo,Internacional,empate
Vitoria,Chapecoense,casa
Botafogo-RJ,Ceara,empate
Corinthians,Santos,empate
Sport,Athletico-PR,casa
Gremio,Palmeiras,fora
Cruzeiro,Vasco,empate
Parana,Bahia,casa
Fluminense,Flamengo,fora
America-MG,Atletico-MG,fora
Athletico-PR,Sao Paulo,fora
Chapecoense,Cruzeiro,casa
Vasco,Sport,casa
Corinthians,Vitoria,empate
Atletico-MG,Fluminense,casa
Bahia,Botafogo-RJ,empate
Gremio,America-MG,casa
Ceara,Palmeiras,empate
Flamengo,Parana,casa
Santos,Internacional,fora
Sao Paulo,Vitoria,casa
America-MG,Chapecoense,empate
Fluminense,Santos,fora
Sport,Gremio,empate
Parana,Cruzeiro,empate
Palmeiras,Flamengo,empate
Botafogo-RJ,Athletico-PR,casa
Bahia,Corinthians,casa
Internacional,Vasco,casa
Atletico-MG,Ceara,casa
Ceara,Sport,casa
Vitoria,Parana,casa
Corinthians,Botafogo-RJ,casa
Gremio,Atletico-MG,casa
Flamengo,Sao Paulo,fora
Chapecoense,Bahia,empate
Cruzeiro,America-MG,casa
Vasco,Fluminense,empate
Santos,Palmeiras,empate
Athletico-PR,Internacional,empate
Flamengo,Botafogo-RJ,casa
Sao Paulo,Corinthians,casa
Vasco,Gremio,casa
Palmeiras,Atletico-MG,casa
Parana,America-MG,casa
Bahia,Vitoria,casa
Sport,Fluminense,fora
Cruzeiro,Athletico-PR,casa
Chapecoense,Santos,empate
Internacional,Ceara,casa
Fluminense,Palmeiras,casa
Atletico-MG,Parana,casa
Corinthians,Cruzeiro,casa
Santos,Flamengo,empate
Botafogo-RJ,Chapecoense,casa
Vitoria,Sport,casa
Gremio,Sao Paulo,casa
America-MG,Internacional,casa
Ceara,Fluminense,casa
Palmeiras,Parana,casa
Vasco,Corinthians,fora
Flamengo,Sport,casa
Athletico-PR,Vitoria,casa
Internacional,Botafogo-RJ,casa
Cruzeiro,Sao Paulo,fora
Santos,America-MG,fora
Chapecoense,Gremio,empate
Bahia,Atletico-MG,empate
Botafogo-RJ,Santos,empate
Gremio,Flamengo,casa
Corinthians,Athletico-PR,empate
Vitoria,Cruzeiro,empate
Parana,Ceara,fora
America-MG,Palmeiras,empate
Sao Paulo,Vasco,casa
Fluminense,Bahia,empate
Sport,Chapecoense,empate
Atletico-MG,Internacional,fora
Ceara,Santos,empate
Ceara,Athletico-PR,empate
Bahia,America-MG,casa
Parana,Botafogo-RJ,empate
Atletico-MG,Santos,casa
Sport,Sao Paulo,fora
Flamengo,Cruzeiro,casa
Chapecoense,Corinthians,casa
Gremio,Vitoria,casa
Palmeiras,Vasco,casa
Fluminense,Internacional,fora
Santos,Sport,casa
Corinthians,Gremio,fora
Athletico-PR,Flamengo,casa
Internacional,Parana,casa
Vitoria,Palmeiras,fora
Botafogo-RJ,Atletico-MG,fora
Cruzeiro,Bahia,empate
America-MG,Fluminense,empate
Sao Paulo,Chapecoense,casa
Vasco,Ceara,empate
Bahia,Internacional,fora
Parana,Sao Paulo,empate
Palmeiras,Botafogo-RJ,casa
Sport,America-MG,fora
Fluminense,Corinthians,casa
Gremio,Cruzeiro,empate
Flamengo,Vitoria,casa
Atletico-MG,Vasco,empate
Santos,Bahia,casa
Corinthians,Parana,casa
Athletico-PR,Gremio,casa
Cruzeiro,Fluminense,casa
Botafogo-RJ,Sport,casa
Sao Paulo,Ceara,casa
America-MG,Flamengo,empate
Internacional,Palmeiras,empate
Vitoria,Atletico-MG,casa
Vasco,Chapecoense,casa
Ceara,Bahia,fora
Athletico-PR,Vasco,casa
Vitoria,America-MG,casa
Gremio,Botafogo-RJ,casa
Vasco,Santos,fora
Corinthians,Atletico-MG,empate
Flamengo,Ceara,fora
Athletico-PR,Bahia,casa
Sport,Parana,casa
Sao Paulo,Fluminense,empate
Cruzeiro,Internacional,empate
Chapecoense,Palmeiras,fora
Bahia,Sport,casa
Botafogo-RJ,Cruzeiro,empate
Ceara,Corinthians,casa
Palmeiras,Athletico-PR,casa
Parana,Chapecoense,empate
Atletico-MG,Sao Paulo,casa
Internacional,Flamengo,casa
Santos,Gremio,empate
Fluminense,Vitoria,empate
America-MG,Vasco,casa
Sport,Cruzeiro,empate
Sao Paulo,Bahia,casa
Flamengo,Chapecoense,casa
America-MG,Ceara,empate
Palmeiras,Corinthians,casa
Fluminense,Botafogo-RJ,casa
Internacional,Gremio,casa
Parana,Santos,fora
Vitoria,Vasco,casa
Atletico-MG,Athletico-PR,casa
Chapecoense,Athletico-PR,casa
Ceara,Vitoria,casa
Gremio,Parana,casa
Vasco,Flamengo,empate
Botafogo-RJ,America-MG,casa
Cruzeiro,Atletico-MG,empate
Bahia,Palmeiras,empate
Athletico-PR,Fluminense,casa
Santos,Sao Paulo,empate
Corinthians,Sport,casa
Chapecoense,Internacional,casa
Sao Paulo,America-MG,empate
Gremio,Ceara,casa
Athletico-PR,Parana,casa
Flamengo,Atletico-MG,casa
Corinthians,Internacional,empate
Sport,Palmeiras,fora
Vitoria,Botafogo-RJ,fora
Cruzeiro,Santos,casa
Chapecoense,Fluminense,fora
Vasco,Bahia,casa
Santos,Vasco,empate
Fluminense,Gremio,fora
America-MG,Corinthians,empate
Bahia,Flamengo,empate
Palmeiras,Cruzeiro,casa
Atletico-MG,Sport,casa
Santos,Athletico-PR,casa
Botafogo-RJ,Sao Paulo,empate
Internacional,Vitoria,casa
Ceara,Chapecoense,casa
Parana,Vasco,empate
Sport,Internacional,casa
Corinthians,Flamengo,fora
Vitoria,Santos,fora
Athletico-PR,America-MG,casa
Chapecoense,Atletico-MG,casa
Sao Paulo,Palmeiras,fora
Gremio,Bahia,empate
Fluminense,Parana,casa
Botafogo-RJ,Vasco,empate
Flamengo,Fluminense,casa
Santos,Corinthians,casa
Bahia,Parana,casa
Chapecoense,Vitoria,fora
Vasco,Cruzeiro,casa
Internacional,Sao Paulo,casa
Palmeiras,Gremio,casa
Atletico-MG,America-MG,empate
Athletico-PR,Sport,casa
Ceara,Botafogo-RJ,empate
America-MG,Gremio,empate
Botafogo-RJ,Bahia,fora
Sao Paulo,Athletico-PR,empate
Sport,Vasco,casa
Vitoria,Corinthians,empate
Fluminense,Atletico-MG,casa
Palmeiras,Ceara,casa
Cruzeiro,Chapecoense,casa
Parana,Flamengo,fora
Internacional,Santos,empate
Cruzeiro,Ceara,fora
Vitoria,Sao Paulo,fora
Vasco,Internacional,empate
Santos,Fluminense,casa
Gremio,Sport,fora
Corinthians,Bahia,casa
Chapecoense,America-MG,casa
Flamengo,Palmeiras,empate
Cruzeiro,Parana,casa
Athletico-PR,Botafogo-RJ,casa
Ceara,Atletico-MG,casa
Fluminense,Vasco,fora
Atletico-MG,Gremio,fora
Palmeiras,Santos,casa
America-MG,Cruzeiro,fora
Parana,Vitoria,empate
Sao Paulo,Flamengo,empate
Botafogo-RJ,Corinthians,casa
Internacional,Athletico-PR,casa
Bahia,Chapecoense,casa
Sport,Ceara,casa
America-MG,Parana,fora
Corinthians,Sao Paulo,empate
Botafogo-RJ,Flamengo,casa
Athletico-PR,Cruzeiro,casa
Vitoria,Bahia,empate
Ceara,Internacional,empate
Atletico-MG,Palmeiras,empate
Gremio,Vasco,casa
Fluminense,Sport,empate
Santos,Chapecoense,fora
Vasco,Athletico-PR,empate
Bahia,Ceara,casa
Parana,Atletico-MG,fora
Sport,Vitoria,empate
Palmeiras,Fluminense,casa
Cruzeiro,Corinthians,casa
Chapecoense,Botafogo-RJ,fora
Flamengo,Santos,casa
Sao Paulo,Gremio,empate
Internacional,America-MG,casa
Corinthians,Vasco,casa
Vitoria,Athletico-PR,fora
Atletico-MG,Bahia,casa
Parana,Palmeiras,empate
America-MG,Santos,casa
Sport,Flamengo,fora
Botafogo-RJ,Internacional,casa
Sao Paulo,Cruzeiro,casa
Gremio,Chapecoense,casa
Fluminense,Ceara,empate
Internacional,Atletico-MG,fora
Santos,Botafogo-RJ,empate
Athletico-PR,Corinthians,casa
Palmeiras,America-MG,casa
Flamengo,Gremio,casa
Cruzeiro,Vitoria,casa
Vasco,Sao Paulo,casa
Ceara,Parana,casa
Bahia,Fluminense,casa
Chapecoense,Sport,casa
Santos,Atletico-MG,casa
Athletico-PR,Ceara,empate
Cruzeiro,Flamengo,fora
Vitoria,Gremio,empate
Vasco,Palmeiras,fora
Internacional,Fluminense,casa
America-MG,Bahia,casa
Corinthians,Chapecoense,empate
Botafogo-RJ,Parana,casa
Sao Paulo,Sport,empate
Flamengo,Athletico-PR,fora
Atletico-MG,Botafogo-RJ,casa
Ceara,Vasco,empate
Gremio,Corinthians,casa
Bahia,Cruzeiro,empate
Sport,Santos,casa
Parana,Internacional,empate
Fluminense,America-MG,casa
Chapecoense,Sao Paulo,casa
Palmeiras,Vitoria,casa
Sao Paulo,Botafogo-RJ,casa
Atletico-MG,Avai,casa
Chapecoense,Internacional,casa
Flamengo,Cruzeiro,casa
Gremio,Santos,fora
Bahia,Corinthians,casa
Athletico-PR,Vasco,casa
Ceara,CSA,casa
Palmeiras,Fortaleza,casa
Fluminense,Goias,fora
Internacional,Flamengo,casa
CSA,Palmeiras,empate
Corinthians,Chapecoense,casa
Cruzeiro,Ceara,casa
Avai,Gremio,empate
Goias,Sao Paulo,fora
Vasco,Atletico-MG,fora
Fortaleza,Athletico-PR,casa
Santos,Fluminense,casa
Botafogo-RJ,Bahia,casa
Vasco,Corinthians,empate
Palmeiras,Internacional,casa
Ceara,Atletico-MG,fora
Chapecoense,Athletico-PR,empate
Sao Paulo,Flamengo,empate
Botafogo-RJ,Fortaleza,casa
CSA,Santos,empate
Cruzeiro,Goias,casa
Gremio,Fluminense,fora
Bahia,Avai,casa
Fluminense,Botafogo-RJ,fora
Corinthians,Gremio,empate
Goias,Ceara,casa
Flamengo,Chapecoense,casa
Santos,Vasco,casa
Atletico-MG,Palmeiras,fora
Internacional,Cruzeiro,casa
Avai,CSA,empate
Athletico-PR,Bahia,casa
Fortaleza,Sao Paulo,fora
Fluminense,Cruzeiro,casa
Palmeiras,Santos,casa
Atletico-MG,Flamengo,casa
Sao Paulo,Bahia,empate
Internacional,CSA,casa
Athletico-PR,Corinthians,fora
Goias,Botafogo-RJ,casa
Chapecoense,Fortaleza,fora
Vasco,Avai,empate
Ceara,Gremio,casa
Botafogo-RJ,Palmeiras,fora
Gremio,Atletico-MG,casa
Flamengo,Athletico-PR,casa
Santos,Internacional,empate
Fortaleza,Vasco,empate
Cruzeiro,Chapecoense,fora
Bahia,Fluminense,casa
Corinthians,Sao Paulo,casa
CSA,Goias,casa
Avai,Ceara,fora
Flamengo,Fortaleza,casa
Bahia,Gremio,casa
Botafogo-RJ,Vasco,casa
Ceara,Santos,fora
Athletico-PR,Fluminense,casa
Sao Paulo,Cruzeiro,empate
Atletico-MG,CSA,casa
Chapecoense,Palmeiras,fora
Internacional,Avai,casa
Vasco,Internacional,casa
Palmeiras,Athletico-PR,casa
Gremio,Fortaleza,casa
Cruzeiro,Corinthians,empate
Ceara,Bahia,empate
Avai,Sao Paulo,empate
CSA,Botafogo-RJ,fora
Fluminense,Flamengo,empate
Santos,Atletico-MG,casa
Goias,Chapecoense,casa
Botafogo-RJ,Gremio,fora
Fortaleza,Cruzeiro,casa
Internacional,Bahia,casa
CSA,Flamengo,fora
Santos,Corinthians,casa
Vasco,Ceara,casa
Chapecoense,Fluminense,empate
Palmeiras,Avai,casa
Atletico-MG,Sao Paulo,empate
Goias,Athletico-PR,casa
Gremio,Vasco,casa
Fortaleza,Avai,casa
Bahia,Santos,fora
Sao Paulo,Palmeiras,empate
Flamengo,Goias,casa
Corinthians,CSA,casa
Athletico-PR,Internacional,casa
Cruzeiro,Botafogo-RJ,empate
Chapecoense,Atletico-MG,fora
Fluminense,Ceara,empate
Vasco,Fluminense,casa
Bahia,Cruzeiro,empate
Ceara,Palmeiras,casa
CSA,Athletico-PR,fora
Internacional,Gremio,empate
Botafogo-RJ,Santos,fora
Atletico-MG,Fortaleza,empate
Corinthians,Flamengo,empate
Avai,Goias,empate
Sao Paulo,Chapecoense,casa
Palmeiras,Vasco,empate
Cruzeiro,Athletico-PR,fora
Fluminense,Sao Paulo,fora
Internacional,Ceara,casa
Chapecoense,Bahia,empate
Flamengo,Botafogo-RJ,casa
Santos,Avai,casa
Goias,Atletico-MG,empate
Fortaleza,Corinthians,fora
CSA,Gremio,empate
Ceara,Fortaleza,casa
Fluminense,Internacional,casa
Santos,Goias,casa
Avai,Botafogo-RJ,fora
Bahia,Flamengo,casa
Corinthians,Palmeiras,empate
Vasco,CSA,empate
Atletico-MG,Cruzeiro,casa
Gremio,Chapecoense,empate
Corinthians,Goias,casa
Ceara,Chapecoense,casa
Sao Paulo,Santos,casa
Flamengo,Gremio,casa
Atletico-MG,Fluminense,casa
Internacional,Corinthians,empate
Palmeiras,Bahia,empate
Avai,Cruzeiro,empate
Botafogo-RJ,Athletico-PR,casa
Goias,Vasco,fora
CSA,Fortaleza,fora
Corinthians,Botafogo-RJ,casa
Fortaleza,Internacional,fora
Vasco,Flamengo,fora
Athletico-PR,Atletico-MG,casa
Gremio,Palmeiras,empate
Fluminense,CSA,fora
Sao Paulo,Ceara,casa
Bahia,Goias,empate
Cruzeiro,Santos,casa
Chapecoense,Avai,casa
Athletico-PR,Sao Paulo,fora
Atletico-MG,Bahia,fora
Gremio,Athletico-PR,casa
Goias,Internacional,casa
Vasco,Sao Paulo,casa
Santos,Fortaleza,empate
Ceara,Flamengo,fora
Avai,Corinthians,empate
CSA,Cruzeiro,empate
Botafogo-RJ,Chapecoense,empate
Sao Paulo,Gremio,empate
Bahia,CSA,casa
Chapecoense,Santos,fora
Athletico-PR,Ceara,casa
Internacional,Botafogo-RJ,casa
Flamengo,Palmeiras,casa
Fortaleza,Goias,casa
Cruzeiro,Vasco,casa
Corinthians,Atletico-MG,casa
Fluminense,Avai,fora
Vasco,Bahia,fora
Corinthians,Ceara,empate
Avai,Flamengo,fora
Fortaleza,Fluminense,fora
Internacional,Sao Paulo,casa
Goias,Palmeiras,fora
Cruzeiro,Gremio,fora
Santos,Athletico-PR,empate
Botafogo-RJ,Atletico-MG,casa
CSA,Chapecoense,casa
Palmeiras,Fluminense,casa
Flamengo,Santos,casa
Chapecoense,Vasco,fora
Palmeiras,Cruzeiro,casa
Ceara,Botafogo-RJ,empate
Athletico-PR,Avai,fora
Atletico-MG,Internacional,fora
Bahia,Fortaleza,empate
Gremio,Goias,casa
Fluminense,Corinthians,casa
Sao Paulo,CSA,empate
Botafogo-RJ,Sao Paulo,fora
Cruzeiro,Flamengo,fora
Corinthians,Bahia,casa
Santos,Gremio,fora
Internacional,Chapecoense,casa
Fortaleza,Palmeiras,fora
CSA,Ceara,casa
Vasco,Athletico-PR,empate
Goias,Fluminense,casa
Avai,Atletico-MG,casa
Ceara,Cruzeiro,empate
Bahia,Botafogo-RJ,casa
Flamengo,Internacional,casa
Sao Paulo,Goias,fora
Palmeiras,CSA,casa
Fluminense,Santos,empate
Gremio,Avai,casa
Athletico-PR,Fortaleza,casa
Flamengo,Sao Paulo,empate
Corinthians,Vasco,casa
Santos,CSA,casa
Internacional,Palmeiras,empate
Fluminense,Gremio,casa
Athletico-PR,Chapecoense,empate
Atletico-MG,Ceara,casa
Avai,Bahia,fora
Fortaleza,Botafogo-RJ,casa
Goias,Cruzeiro,casa
Atletico-MG,Vasco,fora
Chapecoense,Corinthians,fora
Vasco,Santos,fora
Sao Paulo,Fortaleza,casa
Gremio,Corinthians,empate
Bahia,Athletico-PR,fora
Cruzeiro,Internacional,empate
Chapecoense,Flamengo,fora
Ceara,Goias,fora
Palmeiras,Atletico-MG,empate
Botafogo-RJ,Fluminense,fora
CSA,Avai,casa
CSA,Internacional,casa
Botafogo-RJ,Goias,casa
Fortaleza,Chapecoense,casa
Bahia,Sao Paulo,empate
Gremio,Ceara,casa
Cruzeiro,Fluminense,empate
Santos,Palmeiras,casa
Corinthians,Athletico-PR,empate
Avai,Vasco,empate
Flamengo,Atletico-MG,casa
Goias,CSA,casa
Fluminense,Bahia,casa
Palmeiras,Botafogo-RJ,casa
Internacional,Santos,empate
Athletico-PR,Flamengo,fora
Ceara,Avai,casa
Vasco,Fortaleza,casa
Sao Paulo,Corinthians,casa
Atletico-MG,Gremio,fora
Chapecoense,Cruzeiro,empate
CSA,Atletico-MG,empate
Gremio,Bahia,fora
Fortaleza,Flamengo,fora
Cruzeiro,Sao Paulo,casa
Palmeiras,Chapecoense,casa
Goias,Corinthians,empate
Vasco,Botafogo-RJ,casa
Avai,Internacional,fora
Santos,Ceara,casa
Fluminense,Athletico-PR,fora
Fortaleza,Gremio,casa
Corinthians,Cruzeiro,fora
Internacional,Vasco,fora
Sao Paulo,Avai,casa
Atletico-MG,Santos,casa
Flamengo,Fluminense,casa
Chapecoense,Goias,empate
Athletico-PR,Palmeiras,empate
Bahia,Ceara,fora
Botafogo-RJ,CSA,casa
Corinthians,Santos,empate
Ceara,Vasco,empate
Bahia,Internacional,fora
Fluminense,Chapecoense,empate
Cruzeiro,Fortaleza,empate
Athletico-PR,Goias,casa
Gremio,Botafogo-RJ,casa
Sao Paulo,Atletico-MG,casa
Avai,Palmeiras,fora
Flamengo,CSA,casa
Palmeiras,Sao Paulo,casa
Avai,Fortaleza,fora
Atletico-MG,Chapecoense,fora
Ceara,Fluminense,casa
Vasco,Gremio,fora
CSA,Corinthians,casa
Santos,Bahia,casa
Goias,Flamengo,empate
Internacional,Athletico-PR,empate
Botafogo-RJ,Cruzeiro,fora
Fortaleza,Atletico-MG,empate
Fluminense,Vasco,empate
Palmeiras,Ceara,casa
Chapecoense,Sao Paulo,fora
Flamengo,Corinthians,casa
Athletico-PR,CSA,casa
Gremio,Internacional,casa
Santos,Botafogo-RJ,casa
Cruzeiro,Bahia,empate
Goias,Avai,casa
Corinthians,Fortaleza,casa
Atletico-MG,Goias,casa
Avai,Santos,fora
Athletico-PR,Cruzeiro,empate
Vasco,Palmeiras,fora
Bahia,Chapecoense,empate
Ceara,Internacional,casa
Sao Paulo,Fluminense,fora
Botafogo-RJ,Flamengo,fora
Gremio,CSA,casa
Goias,Santos,fora
Palmeiras,Corinthians,empate
Internacional,Fluminense,casa
Cruzeiro,Atletico-MG,empate
Sao Paulo,Athletico-PR,fora
Flamengo,Bahia,casa
Chapecoense,Gremio,fora
Fortaleza,Ceara,casa
CSA,Vasco,fora
Botafogo-RJ,Avai,casa
Flamengo,Vasco,empate
Santos,Sao Paulo,empate
Fluminense,Atletico-MG,empate
Gremio,Flamengo,fora
Bahia,Palmeiras,empate
Chapecoense,Ceara,casa
Athletico-PR,Botafogo-RJ,casa
Corinthians,Internacional,empate
Fortaleza,CSA,casa
Vasco,Goias,empate
Cruzeiro,Avai,empate
Santos,Cruzeiro,casa
Palmeiras,Gremio,fora
Atletico-MG,Athletico-PR,fora
Goias,Bahia,casa
Botafogo-RJ,Corinthians,casa
Ceara,Sao Paulo,empate
Internacional,Fortaleza,empate
Avai,Chapecoense,fora
CSA,Fluminense,fora
Internacional,Goias,fora
Chapecoense,Botafogo-RJ,fora
Bahia,Atletico-MG,empate
Athletico-PR,Gremio,casa
Flamengo,Ceara,casa
Corinthians,Avai,casa
Fluminense,Palmeiras,casa
Fortaleza,Santos,casa
Sao Paulo,Vasco,casa
Cruzeiro,CSA,fora
Botafogo-RJ,Internacional,fora
Ceara,Athletico-PR,empate
Avai,Fluminense,empate
Palmeiras,Flamengo,fora
Goias,Fortaleza,fora
CSA,Bahia,fora
Atletico-MG,Corinthians,casa
Santos,Chapecoense,casa
Gremio,Sao Paulo,casa
Vasco,Cruzeiro,casa
Athletico-PR,Santos,casa
Ceara,Corinthians,fora
Atletico-MG,Botafogo-RJ,casa
Chapecoense,CSA,casa
Fluminense,Fortaleza,empate
Sao Paulo,Internacional,casa
Gremio,Cruzeiro,casa
Palmeiras,Goias,casa
Bahia,Vasco,empate
Flamengo,Avai,casa
Corinthians,Fluminense,fora
Santos,Flamengo,casa
Botafogo-RJ,Ceara,empate
CSA,Sao Paulo,fora
Internacional,Atletico-MG,casa
Cruzeiro,Palmeiras,fora
Goias,Gremio,casa
Vasco,Chapecoense,empate
Avai,Athletico-PR,empate
Fortaleza,Bahia,casa
Fortaleza,Athletico-PR,fora
Coritiba,Internacional,fora
Sport,Ceara,casa
Santos,Bragantino,empate
Flamengo,Atletico-MG,fora
Gremio,Fluminense,casa
Athletico-PR,Goias,casa
