mandante,visitante,resultado
Paysandu,Athletico-PR,empate
Vasco,Santos,empate
Sao Paulo,Flamengo,fora
Botafogo-RJ,Goias,fora
Figueirense,Internacional,casa
Sao Caetano,Vitoria,casa
Cruzeiro,Juventude,casa
Palmeiras,Atletico-MG,empate
Gremio,Flamengo,empate
Ponte Preta,Corinthians,casa
Parana,Santos,casa
Coritiba,Guarani,casa
Vasco,Criciuma,fora
Paysandu,Fluminense,empate
Sao Paulo,Athletico-PR,casa
Flamengo,Ponte Preta,empate
Goias,Cruzeiro,empate
Juventude,Gremio,empate
Internacional,Palmeiras,casa
Atletico-MG,Vasco,empate
Fluminense,Coritiba,empate
Corinthians,Paysandu,casa
Guarani,Sao Caetano,empate
Athletico-PR,Figueirense,fora
Vitoria,Parana,casa
Criciuma,Sao Paulo,empate
Santos,Botafogo-RJ,casa
Botafogo-RJ,Atletico-MG,empate
Coritiba,Internacional,empate
Paysandu,Athletico-PR,fora
Cruzeiro,Criciuma,empate
Ponte Preta,Goias,casa
Gremio,Corinthians,casa
Figueirense,Santos,casa
Sao Paulo,Fluminense,casa
Parana,Flamengo,casa
Vasco,Guarani,fora
Palmeiras,Vitoria,empate
Internacional,Paysandu,casa
Criciuma,Botafogo-RJ,casa
Atletico-MG,Ponte Preta,fora
Goias,Gremio,casa
Flamengo,Sao Caetano,empate
Santos,Cruzeiro,fora
Fluminense,Vasco,casa
Corinthians,Palmeiras,fora
Juventude,Parana,casa
Vitoria,Figueirense,casa
Guarani,Sao Paulo,fora
Athletico-PR,Coritiba,empate
Santos,Juventude,casa
Parana,Cruzeiro,casa
Guarani,Athletico-PR,empate
Sao Caetano,Criciuma,casa
Vasco,Gremio,empate
Palmeiras,Ponte Preta,casa
Internacional,Fluminense,empate
Atletico-MG,Corinthians,empate
Botafogo-RJ,Paysandu,empate
Goias,Figueirense,casa
Vitoria,Flamengo,casa
Coritiba,Sao Paulo,fora
Paysandu,Vasco,fora
Athletico-PR,Santos,casa
Cruzeiro,Palmeiras,casa
Flamengo,Internacional,fora
